CustomerRiskRank,ChurnProbability,ChurnProbabilityPercent,RiskCategory,RetentionPriority
111,0.8086897361087935,80.87,Critical,Immediate Action
112,0.8079118129519779,80.79,Critical,Immediate Action
113,0.8068295402292798,80.68,Critical,Immediate Action
114,0.8064692475279123,80.65,Critical,Immediate Action
115,0.8060157949814916,80.6,Critical,Immediate Action
116,0.8060065495072698,80.6,Critical,Immediate Action
117,0.8056865068466523,80.57,Critical,Immediate Action
118,0.8050137071702184,80.5,Critical,Immediate Action
119,0.8043040836881283,80.43,Critical,Immediate Action
120,0.8041839709894976,80.42,Critical,Immediate Action
121,0.8041637751266809,80.42,Critical,Immediate Action
122,0.803800561233016,80.38,Critical,Immediate Action
123,0.8034571557154815,80.35,Critical,Immediate Action
124,0.802990583937555,80.3,Critical,Immediate Action
125,0.8029530829439947,80.3,Critical,Immediate Action
126,0.8023658280478305,80.24,Critical,Immediate Action
127,0.8014874808736043,80.15,Critical,Immediate Action
128,0.8013777494353291,80.14,Critical,Immediate Action
129,0.801355603397373,80.14,Critical,Immediate Action
130,0.8011565632410161,80.12,Critical,Immediate Action
131,0.800738742831886,80.07,Critical,Immediate Action
132,0.7998490747990884,79.98,Critical,High Priority
133,0.7991597116670943,79.92,Critical,High Priority
134,0.7988222170486037,79.88,Critical,High Priority
135,0.798681147215047,79.87,Critical,High Priority
136,0.7982690073053227,79.83,Critical,High Priority
137,0.7980161348000956,79.8,Critical,High Priority
138,0.7975775700535108,79.76,Critical,High Priority
139,0.7973649037362335,79.74,Critical,High Priority
140,0.7967354475785963,79.67,Critical,High Priority
141,0.7961035833939348,79.61,Critical,High Priority
142,0.7949758235441574,79.5,Critical,High Priority
143,0.7949642013632845,79.5,Critical,High Priority
144,0.7948947799932651,79.49,Critical,High Priority
145,0.7947234335330096,79.47,Critical,High Priority
146,0.794458583931781,79.45,Critical,High Priority
147,0.7941876226331704,79.42,Critical,High Priority
148,0.7935200381063218,79.35,Critical,High Priority
149,0.7934275388258084,79.34,Critical,High Priority
150,0.7932353733851724,79.32,Critical,High Priority
151,0.793137501175436,79.31,Critical,High Priority
152,0.7930760517076575,79.31,Critical,High Priority
153,0.79303504851483,79.3,Critical,High Priority
154,0.7929806644860579,79.3,Critical,High Priority
155,0.7925186047248088,79.25,Critical,High Priority
156,0.7921558634857581,79.22,Critical,High Priority
157,0.7918982877538131,79.19,Critical,High Priority
158,0.7916674943157279,79.17,Critical,High Priority
159,0.7909002395120546,79.09,Critical,High Priority
160,0.7907608130850464,79.08,Critical,High Priority
161,0.7903986849457977,79.04,Critical,High Priority
162,0.7897147512906786,78.97,Critical,High Priority
163,0.7894599842850233,78.95,Critical,High Priority
164,0.7890476215878398,78.9,Critical,High Priority
165,0.788950908216235,78.9,Critical,High Priority
166,0.7885362807861108,78.85,Critical,High Priority
167,0.7876840817899614,78.77,Critical,High Priority
168,0.7871160081365205,78.71,Critical,High Priority
169,0.78709504722092,78.71,Critical,High Priority
170,0.7865474951321008,78.65,Critical,High Priority
171,0.786356852964657,78.64,Critical,High Priority
172,0.7863417404134239,78.63,Critical,High Priority
173,0.785786193917195,78.58,Critical,High Priority
174,0.7856428995176217,78.56,Critical,High Priority
175,0.785595728023138,78.56,Critical,High Priority
176,0.78517465471074,78.52,Critical,High Priority
177,0.7850339429152894,78.5,Critical,High Priority
178,0.7842108070845472,78.42,Critical,High Priority
179,0.783973722645987,78.4,Critical,High Priority
180,0.7837753496533503,78.38,Critical,High Priority
181,0.783175066829355,78.32,Critical,High Priority
182,0.7829114555414902,78.29,Critical,High Priority
183,0.7825945602302148,78.26,Critical,High Priority
184,0.7822283685194429,78.22,Critical,High Priority
185,0.7816762466088427,78.17,Critical,High Priority
186,0.7816659930347661,78.17,Critical,High Priority
187,0.7813701868957965,78.14,Critical,High Priority
188,0.7812025885665482,78.12,Critical,High Priority
189,0.7808401500725947,78.08,Critical,High Priority
190,0.7807714164396848,78.08,Critical,High Priority
191,0.7805502682691369,78.06,Critical,High Priority
192,0.7800745239962431,78.01,Critical,High Priority
193,0.7795665913651916,77.96,Critical,High Priority
194,0.7786514079443632,77.87,Critical,High Priority
195,0.7771575525381421,77.72,Critical,High Priority
196,0.7767964734026297,77.68,Critical,High Priority
197,0.7759193870691655,77.59,Critical,High Priority
198,0.7751955751030485,77.52,Critical,High Priority
199,0.7749925449447961,77.5,Critical,High Priority
200,0.7748251966185139,77.48,Critical,High Priority
201,0.7747739922656267,77.48,Critical,High Priority
202,0.7746004082609607,77.46,Critical,High Priority
203,0.7744904448515735,77.45,Critical,High Priority
204,0.7744750661077895,77.45,Critical,High Priority
205,0.7744334220822203,77.44,Critical,High Priority
206,0.7743678386951127,77.44,Critical,High Priority
207,0.7742745007800763,77.43,Critical,High Priority
208,0.7738197763016376,77.38,Critical,High Priority
209,0.7737699825689053,77.38,Critical,High Priority
210,0.7735477285397501,77.35,Critical,High Priority
211,0.7733659305454408,77.34,Critical,High Priority
212,0.773341844527359,77.33,Critical,High Priority
213,0.7730544423112069,77.31,Critical,High Priority
214,0.7730487326316829,77.3,Critical,High Priority
215,0.7728857867190763,77.29,Critical,High Priority
216,0.7720877348381622,77.21,Critical,High Priority
217,0.7718600583795766,77.19,Critical,High Priority
218,0.7717765988602996,77.18,Critical,High Priority
219,0.7714722054647762,77.15,Critical,High Priority
220,0.771442608191544,77.14,Critical,High Priority
221,0.7711952689826551,77.12,Critical,High Priority
222,0.7710607646557541,77.11,Critical,High Priority
223,0.7703347135294186,77.03,Critical,High Priority
224,0.7700968495623868,77.01,Critical,High Priority
225,0.7699908887923319,77.0,Critical,High Priority
226,0.7699589650666865,77.0,Critical,High Priority
227,0.7697603216065662,76.98,Critical,High Priority
228,0.7695753973952116,76.96,Critical,High Priority
229,0.7694567146070093,76.95,Critical,High Priority
230,0.7691558178904344,76.92,Critical,High Priority
231,0.7691403178780892,76.91,Critical,High Priority
232,0.76861077656472,76.86,Critical,High Priority
233,0.7682804064847968,76.83,Critical,High Priority
234,0.7681308254717478,76.81,Critical,High Priority
235,0.7679835376419619,76.8,Critical,High Priority
236,0.7679464832606295,76.79,Critical,High Priority
237,0.7679071429665474,76.79,Critical,High Priority
238,0.7677686596646965,76.78,Critical,High Priority
239,0.7677642913341353,76.78,Critical,High Priority
240,0.767580181293934,76.76,Critical,High Priority
241,0.7675623395340735,76.76,Critical,High Priority
242,0.7674271065854694,76.74,Critical,High Priority
243,0.7672769812914122,76.73,Critical,High Priority
244,0.7670230725498811,76.7,Critical,High Priority
245,0.7663302950554023,76.63,Critical,High Priority
246,0.766068850457155,76.61,Critical,High Priority
247,0.7659486895083529,76.59,Critical,High Priority
248,0.7657177891373242,76.57,Critical,High Priority
249,0.7655941803208509,76.56,Critical,High Priority
250,0.76556877915336,76.56,Critical,High Priority
251,0.7655430038032499,76.55,Critical,High Priority
252,0.7652121401660968,76.52,Critical,High Priority
253,0.7648948706532276,76.49,Critical,High Priority
254,0.7648324137039223,76.48,Critical,High Priority
255,0.7647506859921132,76.48,Critical,High Priority
256,0.7646284999483796,76.46,Critical,High Priority
257,0.7644980511488969,76.45,Critical,High Priority
258,0.7644039501466408,76.44,Critical,High Priority
259,0.7641630469555435,76.42,Critical,High Priority
260,0.7640904966924096,76.41,Critical,High Priority
261,0.7640631525354843,76.41,Critical,High Priority
262,0.7640045943331876,76.4,Critical,High Priority
263,0.763786561383335,76.38,Critical,High Priority
264,0.7635824199444142,76.36,Critical,High Priority
265,0.7634957860233956,76.35,Critical,High Priority
266,0.7634868293900386,76.35,Critical,High Priority
267,0.7628304397311476,76.28,Critical,High Priority
268,0.762764636730902,76.28,Critical,High Priority
269,0.7625658714028521,76.26,Critical,High Priority
270,0.7625058468608993,76.25,Critical,High Priority
271,0.7625034045676119,76.25,Critical,High Priority
272,0.7623550149593246,76.24,Critical,High Priority
273,0.762079166035409,76.21,Critical,High Priority
274,0.7616301708777012,76.16,Critical,High Priority
275,0.7615343119919451,76.15,Critical,High Priority
276,0.7614831632428107,76.15,Critical,High Priority
277,0.7613288323383586,76.13,Critical,High Priority
278,0.7608619429105951,76.09,Critical,High Priority
279,0.760623988446706,76.06,Critical,High Priority
280,0.7603573248871226,76.04,Critical,High Priority
281,0.7599503857127942,76.0,Critical,High Priority
282,0.7598749979003886,75.99,Critical,High Priority
283,0.7598392014856808,75.98,Critical,High Priority
284,0.7597895727454848,75.98,Critical,High Priority
285,0.7595789931499546,75.96,Critical,High Priority
286,0.7593719543891284,75.94,Critical,High Priority
287,0.7593448026815907,75.93,Critical,High Priority
288,0.7591095151145892,75.91,Critical,High Priority
289,0.7591019388115737,75.91,Critical,High Priority
290,0.7590048699752584,75.9,Critical,High Priority
291,0.7582006369686908,75.82,Critical,High Priority
292,0.7579413124066423,75.79,Critical,High Priority
293,0.7573534491888836,75.74,Critical,High Priority
294,0.7571017115320479,75.71,Critical,High Priority
295,0.7560018166728977,75.6,Critical,High Priority
296,0.7556865960489862,75.57,Critical,High Priority
297,0.755541796214085,75.55,Critical,High Priority
298,0.7554803089990878,75.55,Critical,High Priority
299,0.7550150353727899,75.5,Critical,High Priority
300,0.7548503302975546,75.49,Critical,High Priority
301,0.7543722455091559,75.44,Critical,High Priority
302,0.7543224716620559,75.43,Critical,High Priority
303,0.7541408412651649,75.41,Critical,High Priority
304,0.7540012245954937,75.4,Critical,High Priority
305,0.7538503983708948,75.39,Critical,High Priority
306,0.7536565930491892,75.37,Critical,High Priority
307,0.7536081257735991,75.36,Critical,High Priority
308,0.7534892316555665,75.35,Critical,High Priority
309,0.753236332574818,75.32,Critical,High Priority
310,0.7527643527714144,75.28,Critical,High Priority
311,0.7526429881609011,75.26,Critical,High Priority
312,0.7525163561348069,75.25,Critical,High Priority
313,0.7522274860266865,75.22,Critical,High Priority
314,0.7521972157688954,75.22,Critical,High Priority
315,0.7519240584795078,75.19,Critical,High Priority
316,0.7517896529374112,75.18,Critical,High Priority
317,0.7517770637052179,75.18,Critical,High Priority
318,0.7516987792179299,75.17,Critical,High Priority
319,0.7516135860715989,75.16,Critical,High Priority
320,0.7515648478444124,75.16,Critical,High Priority
321,0.7515282339321708,75.15,Critical,High Priority
322,0.7513217168881408,75.13,Critical,High Priority
323,0.751265617514712,75.13,Critical,High Priority
324,0.7508442273908417,75.08,Critical,High Priority
325,0.7507841711955376,75.08,Critical,High Priority
326,0.7506739515888453,75.07,Critical,High Priority
327,0.7502962414584349,75.03,Critical,High Priority
328,0.7500349652994464,75.0,Critical,High Priority
329,0.7496367460237509,74.96,High,High Priority
330,0.7492593107093668,74.93,High,High Priority
331,0.7492581270694534,74.93,High,High Priority
332,0.7484399994751552,74.84,High,High Priority
333,0.7483235396349983,74.83,High,High Priority
334,0.7475793696950568,74.76,High,High Priority
335,0.7474707466637867,74.75,High,High Priority
336,0.747438995645728,74.74,High,High Priority
337,0.7473040428818956,74.73,High,High Priority
338,0.7472688492025875,74.73,High,High Priority
339,0.7469823510801253,74.7,High,High Priority
340,0.7468767864103169,74.69,High,High Priority
341,0.7467350402991781,74.67,High,High Priority
342,0.7465269275121572,74.65,High,High Priority
343,0.7463828874224264,74.64,High,High Priority
344,0.74636326369149,74.64,High,High Priority
345,0.746093152001831,74.61,High,High Priority
346,0.745828223681739,74.58,High,High Priority
347,0.7451973909313583,74.52,High,High Priority
348,0.7446384793344162,74.46,High,High Priority
349,0.7446364454857342,74.46,High,High Priority
350,0.744625304121572,74.46,High,High Priority
351,0.7444780280971028,74.45,High,High Priority
352,0.7444206910846667,74.44,High,High Priority
353,0.7443058780152741,74.43,High,High Priority
354,0.7441287268457079,74.41,High,High Priority
355,0.7436943409397884,74.37,High,High Priority
356,0.7434661269029581,74.35,High,High Priority
357,0.74338953847187,74.34,High,High Priority
358,0.7432950595443196,74.33,High,High Priority
359,0.7432587982172133,74.33,High,High Priority
360,0.7432517420774706,74.33,High,High Priority
361,0.7425849116581915,74.26,High,High Priority
362,0.7423700757301268,74.24,High,High Priority
363,0.7423584243973704,74.24,High,High Priority
364,0.7420533054641179,74.21,High,High Priority
365,0.7416150129129404,74.16,High,High Priority
366,0.7412855015447775,74.13,High,High Priority
367,0.7412510531308389,74.13,High,High Priority
368,0.7412454960271371,74.12,High,High Priority
369,0.741223404897576,74.12,High,High Priority
370,0.74103156834683,74.1,High,High Priority
371,0.7410043502497325,74.1,High,High Priority
372,0.740892764372127,74.09,High,High Priority
373,0.740854066848131,74.09,High,High Priority
374,0.7408318842061483,74.08,High,High Priority
375,0.7406844489522625,74.07,High,High Priority
376,0.7400556617226621,74.01,High,High Priority
377,0.7393371171613377,73.93,High,High Priority
378,0.7393143074328317,73.93,High,High Priority
379,0.7389686389213648,73.9,High,High Priority
380,0.7388192408807969,73.88,High,High Priority
381,0.738755827242235,73.88,High,High Priority
382,0.7384563702905347,73.85,High,High Priority
383,0.7384093258458052,73.84,High,High Priority
384,0.7381419940906202,73.81,High,High Priority
385,0.7379526352315102,73.8,High,High Priority
386,0.7377862908729562,73.78,High,High Priority
387,0.7376109029176011,73.76,High,High Priority
388,0.7374949676958823,73.75,High,High Priority
389,0.7372524431123821,73.73,High,High Priority
390,0.7371341357152481,73.71,High,High Priority
391,0.7366752159379243,73.67,High,High Priority
392,0.7364841329634889,73.65,High,High Priority
393,0.7362361242638027,73.62,High,High Priority
394,0.735956674389164,73.6,High,High Priority
395,0.7359481048842683,73.59,High,High Priority
396,0.7356945757124116,73.57,High,High Priority
397,0.7356856145245129,73.57,High,High Priority
398,0.73566695937124,73.57,High,High Priority
399,0.735602805040978,73.56,High,High Priority
400,0.7354652343124255,73.55,High,High Priority
401,0.7353079091611685,73.53,High,High Priority
402,0.7352761815980822,73.53,High,High Priority
403,0.735060200177833,73.51,High,High Priority
404,0.7348065291138034,73.48,High,High Priority
405,0.7346818194072711,73.47,High,High Priority
406,0.7345309032661936,73.45,High,High Priority
407,0.7344400962293326,73.44,High,High Priority
408,0.7342586586438493,73.43,High,High Priority
409,0.7340779084559611,73.41,High,High Priority
410,0.7339772809242295,73.4,High,High Priority
411,0.7339746594534159,73.4,High,High Priority
412,0.7337563577603112,73.38,High,High Priority
413,0.7336988222412807,73.37,High,High Priority
414,0.7336471885547194,73.36,High,High Priority
415,0.7335553835191716,73.36,High,High Priority
416,0.7319093822812353,73.19,High,High Priority
417,0.7317139378487102,73.17,High,High Priority
418,0.7316563584693976,73.17,High,High Priority
419,0.731625625108808,73.16,High,High Priority
420,0.7315626324685383,73.16,High,High Priority
421,0.7312144703449006,73.12,High,High Priority
422,0.7307175426362295,73.07,High,High Priority
423,0.7296749961321166,72.97,High,High Priority
424,0.7292217373025994,72.92,High,High Priority
425,0.729211286801845,72.92,High,High Priority
426,0.7291598423357977,72.92,High,High Priority
427,0.7289761060862696,72.9,High,High Priority
428,0.7289681432930674,72.9,High,High Priority
429,0.7287730766616592,72.88,High,High Priority
430,0.7287672760378398,72.88,High,High Priority
431,0.728093609552709,72.81,High,High Priority
432,0.7280164845003676,72.8,High,High Priority
433,0.7276662079556333,72.77,High,High Priority
434,0.7268143944325182,72.68,High,High Priority
435,0.7266861711762036,72.67,High,High Priority
436,0.726633564913151,72.66,High,High Priority
437,0.7263287549772263,72.63,High,High Priority
438,0.725765463298744,72.58,High,High Priority
439,0.7257205671807153,72.57,High,High Priority
440,0.7255897485229484,72.56,High,High Priority
441,0.7255170720409888,72.55,High,High Priority
442,0.7252394505592128,72.52,High,High Priority
443,0.7247921858468093,72.48,High,High Priority
444,0.7247626361373436,72.48,High,High Priority
445,0.7245125002682955,72.45,High,High Priority
446,0.7240342661755885,72.4,High,High Priority
447,0.7234667091932141,72.35,High,High Priority
448,0.7221661359802044,72.22,High,High Priority
449,0.7221527262921323,72.22,High,High Priority
450,0.7220813568654054,72.21,High,High Priority
451,0.7219391200134633,72.19,High,High Priority
452,0.7217033345402593,72.17,High,High Priority
453,0.7216006653323929,72.16,High,High Priority
454,0.721026182876829,72.1,High,High Priority
455,0.720802331178465,72.08,High,High Priority
456,0.7204777529721669,72.05,High,High Priority
457,0.720463028573091,72.05,High,High Priority
458,0.7201188928372094,72.01,High,High Priority
459,0.7201188928372094,72.01,High,High Priority
460,0.7198924188311534,71.99,High,High Priority
461,0.7198908529132984,71.99,High,High Priority
462,0.7196626995193925,71.97,High,High Priority
463,0.719094115584643,71.91,High,High Priority
464,0.7189775591323417,71.9,High,High Priority
465,0.718865566667835,71.89,High,High Priority
466,0.718865566667835,71.89,High,High Priority
467,0.7187489524741225,71.87,High,High Priority
468,0.7185202326547723,71.85,High,High Priority
469,0.7184711570446813,71.85,High,High Priority
470,0.7182762705032979,71.83,High,High Priority
471,0.7181792410095188,71.82,High,High Priority
472,0.7180829232891363,71.81,High,High Priority
473,0.7176257220661058,71.76,High,High Priority
474,0.7176042230169981,71.76,High,High Priority
475,0.7165271640973836,71.65,High,High Priority
476,0.7164692089317092,71.65,High,High Priority
477,0.7162682505787827,71.63,High,High Priority
478,0.716129273116218,71.61,High,High Priority
479,0.7159384989142984,71.59,High,High Priority
480,0.7158841530768822,71.59,High,High Priority
481,0.7155224786013923,71.55,High,High Priority
482,0.7154607475788604,71.55,High,High Priority
483,0.7154489658142593,71.54,High,High Priority
484,0.7154237850273161,71.54,High,High Priority
485,0.7149544421913709,71.5,High,High Priority
486,0.7148801735890562,71.49,High,High Priority
487,0.714705923195802,71.47,High,High Priority
488,0.7146686001112019,71.47,High,High Priority
489,0.7141108420674098,71.41,High,High Priority
490,0.7139205442114045,71.39,High,High Priority
491,0.7135322159413734,71.35,High,High Priority
492,0.7134807316479174,71.35,High,High Priority
493,0.7131429646284216,71.31,High,High Priority
494,0.7130008185631257,71.3,High,High Priority
495,0.7130002444197457,71.3,High,High Priority
496,0.7122611338053144,71.23,High,High Priority
497,0.7114935267016467,71.15,High,High Priority
498,0.711390737318782,71.14,High,High Priority
499,0.7109036508947273,71.09,High,High Priority
500,0.7107329802899331,71.07,High,High Priority
501,0.7101022732530892,71.01,High,High Priority
502,0.7100145490749403,71.0,High,High Priority
503,0.7099770480460162,71.0,High,High Priority
504,0.7098065586190705,70.98,High,High Priority
505,0.7096576907611927,70.97,High,High Priority
506,0.7095508956217297,70.96,High,High Priority
507,0.709287359626,70.93,High,High Priority
508,0.709188623014839,70.92,High,High Priority
509,0.7090644163830407,70.91,High,High Priority
510,0.7090547387281804,70.91,High,High Priority
511,0.7080539256146837,70.81,High,High Priority
512,0.707750986979758,70.78,High,High Priority
513,0.7073573186550731,70.74,High,High Priority
514,0.7066378679802744,70.66,High,High Priority
515,0.7064271483374795,70.64,High,High Priority
516,0.7062630482245171,70.63,High,High Priority
517,0.706228050585117,70.62,High,High Priority
518,0.7060838774972196,70.61,High,High Priority
519,0.7055959539359226,70.56,High,High Priority
520,0.7052344980769352,70.52,High,High Priority
521,0.70511179765354,70.51,High,High Priority
522,0.7046494706271205,70.46,High,High Priority
523,0.7045177439013144,70.45,High,High Priority
524,0.7041832809617479,70.42,High,High Priority
525,0.7039976188669508,70.4,High,High Priority
526,0.7038381461296314,70.38,High,High Priority
527,0.7037683658167978,70.38,High,High Priority
528,0.7036844602008052,70.37,High,High Priority
529,0.703229285969124,70.32,High,High Priority
530,0.7031655346607617,70.32,High,High Priority
531,0.703150217676991,70.32,High,High Priority
532,0.7029214557489659,70.29,High,High Priority
533,0.7025626224418219,70.26,High,High Priority
534,0.7024448481862207,70.24,High,High Priority
535,0.7024293458160801,70.24,High,High Priority
536,0.7022591606823771,70.23,High,High Priority
537,0.701807052894247,70.18,High,High Priority
538,0.7014509205714191,70.15,High,High Priority
539,0.7006915620459553,70.07,High,High Priority
540,0.7004386852122002,70.04,High,High Priority
541,0.7003160114938308,70.03,High,High Priority
542,0.7000972360358151,70.01,High,High Priority
543,0.6994491475920135,69.94,High,High Priority
544,0.6993701226893184,69.94,High,High Priority
545,0.6993156154910819,69.93,High,High Priority
546,0.6989418393472612,69.89,High,High Priority
547,0.6986990624896662,69.87,High,High Priority
548,0.6984825829680656,69.85,High,High Priority
549,0.6984699329272674,69.85,High,High Priority
550,0.6978789797906085,69.79,High,High Priority
551,0.697709930178636,69.77,High,High Priority
552,0.6972277719191912,69.72,High,High Priority
553,0.6969987188797506,69.7,High,High Priority
554,0.696890212396895,69.69,High,High Priority
555,0.6965817369962192,69.66,High,High Priority
556,0.6965409681104652,69.65,High,High Priority
557,0.6964604640946762,69.65,High,High Priority
558,0.6964399820692618,69.64,High,High Priority
559,0.696200043400672,69.62,High,High Priority
560,0.6959265441303536,69.59,High,High Priority
561,0.6956605104673469,69.57,High,High Priority
562,0.6952558882041618,69.53,High,High Priority
563,0.6951543265357545,69.52,High,High Priority
564,0.6950559145203167,69.51,High,High Priority
565,0.695040430159827,69.5,High,High Priority
566,0.6948742442170601,69.49,High,High Priority
567,0.6948656953060448,69.49,High,High Priority
568,0.6946938692389281,69.47,High,High Priority
569,0.6946389118688141,69.46,High,High Priority
570,0.6945372075737424,69.45,High,High Priority
571,0.6943903071529124,69.44,High,High Priority
572,0.6943659015588309,69.44,High,High Priority
573,0.6941289954181367,69.41,High,High Priority
574,0.6935651522793647,69.36,High,High Priority
575,0.6935162169341589,69.35,High,High Priority
576,0.6934940060255027,69.35,High,High Priority
577,0.6932722312917378,69.33,High,High Priority
578,0.6927812839776064,69.28,High,High Priority
579,0.6925927410016764,69.26,High,High Priority
580,0.6917059569872216,69.17,High,High Priority
581,0.6913662306857394,69.14,High,High Priority
582,0.6910742269754999,69.11,High,High Priority
583,0.6909734838253045,69.1,High,High Priority
584,0.6906076400740302,69.06,High,High Priority
585,0.690387728822441,69.04,High,High Priority
586,0.6900907471466776,69.01,High,High Priority
587,0.6900736305777301,69.01,High,High Priority
588,0.6899573519520167,69.0,High,High Priority
589,0.6899409263924942,68.99,High,High Priority
590,0.6898261392910917,68.98,High,High Priority
591,0.689758297900206,68.98,High,High Priority
592,0.6897341595529747,68.97,High,High Priority
593,0.6880616023935524,68.81,High,High Priority
594,0.6879227198192306,68.79,High,High Priority
