gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerLifetimeValue,EstimatedAnnualRevenue,AverageMonthlySpend,ContractWeight,LoyaltyScore,TenureCategory,ServiceCount,RetentionScore,SupportUsageScore,InternetUsageCategory,HighValueCustomer,PremiumCustomer,CustomerValueScore,CustomerRiskScore
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,649.35,599.4,49.95,1,19.1,Developing Customer,2,17.8,1,Standard Internet,0,0,12.41,86.47
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,303.2,227.4,18.95,3,41.2,Developing Customer,1,14.6,0,No Internet Service,0,0,17.4,54.37
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,5820.3,1204.2,100.35,2,60.6,Loyal Customer,5,59.8,1,High-Speed Internet,1,1,68.01,35.45
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,5081.3,1244.4,103.7,1,44.3,Loyal Customer,6,59.4,2,High-Speed Internet,1,1,59.18,53.4
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,2637.5,1266.0,105.5,1,27.5,Established Customer,6,45.0,3,High-Speed Internet,0,1,37.65,65.45
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,7814.25,1359.0,113.25,3,78.3,Loyal Customer,8,81.4,4,High-Speed Internet,1,1,94.79,1.51
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,1073.8,247.8,20.65,2,56.4,Loyal Customer,1,36.2,0,No Internet Service,0,0,28.45,53.47
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,7575.7,1280.4,106.7,3,79.7,Loyal Customer,6,72.6,2,High-Speed Internet,1,1,89.0,8.0
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,552.0,662.4,55.2,1,17.0,New Customer,3,21.0,2,Standard Internet,0,0,13.44,84.23
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,1891.05,1080.6,90.05,1,24.7,Developing Customer,4,32.6,2,High-Speed Internet,0,1,27.08,74.96
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,39.65,475.8,39.65,1,10.7,New Customer,2,10.6,1,Standard Internet,0,0,5.23,92.5
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,237.6,237.6,19.8,2,28.4,New Customer,1,12.2,0,No Internet Service,0,0,11.51,73.55
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,20.15,241.8,20.15,1,10.7,New Customer,1,5.6,0,No Internet Service,0,0,2.62,96.25
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,3474.2,718.8,59.9,3,70.6,Loyal Customer,4,54.8,2,Standard Internet,0,0,56.1,22.03
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,2920.4,715.2,59.6,1,44.3,Loyal Customer,4,49.4,3,Standard Internet,0,0,41.54,60.9
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,1659.0,663.6,55.3,1,31.0,Established Customer,3,33.0,2,Standard Internet,0,0,25.94,74.19
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,4669.45,1192.2,99.35,1,42.9,Established Customer,5,53.2,1,High-Speed Internet,1,1,53.67,58.15
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,30.2,362.4,30.2,1,10.7,New Customer,1,5.6,1,Standard Internet,0,0,2.68,96.25
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,6498.0,1083.0,90.25,3,80.4,Loyal Customer,8,83.2,4,Standard Internet,1,1,88.0,0.0
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1099.9,776.4,64.7,1,21.9,Developing Customer,3,25.2,0,Standard Internet,0,0,18.75,80.72
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,6840.85,1156.2,96.35,3,79.7,Loyal Customer,6,72.6,4,High-Speed Internet,1,1,84.7,8.0
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,191.0,1146.0,95.5,1,11.4,New Customer,4,21.2,1,High-Speed Internet,0,1,11.42,84.5
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,1786.05,793.8,66.15,2,38.9,Established Customer,5,41.2,4,Standard Internet,0,0,35.08,51.02
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,20.2,242.4,20.2,1,10.7,New Customer,1,5.6,0,No Internet Service,0,0,2.62,96.25
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,45.25,543.0,45.25,1,10.7,New Customer,1,5.6,0,Standard Internet,0,0,2.76,96.25
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,7192.8,1198.8,99.9,3,80.4,Loyal Customer,6,73.2,3,High-Speed Internet,1,1,87.06,7.5
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,348.5,836.4,69.7,1,13.5,New Customer,1,8.0,0,High-Speed Internet,0,0,5.74,94.24
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,3440.8,897.6,74.8,1,42.2,Established Customer,2,37.6,1,High-Speed Internet,0,0,38.68,69.9
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,3615.9,1276.2,106.35,1,33.8,Established Customer,6,50.4,2,High-Speed Internet,0,1,46.09,60.93
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1076.35,1174.2,97.85,1,17.7,New Customer,5,31.6,1,High-Speed Internet,0,1,21.81,76.23
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,495.5,594.6,49.55,2,27.0,New Customer,2,16.0,1,Standard Internet,0,0,14.91,70.81
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,4844.0,830.4,69.2,3,79.0,Loyal Customer,5,67.0,2,Standard Internet,1,0,70.22,12.25
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,352.75,249.0,20.75,2,31.9,Developing Customer,1,15.2,0,No Internet Service,0,0,13.69,71.04
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,5030.55,958.2,79.85,3,74.1,Loyal Customer,7,72.8,4,Standard Internet,1,0,74.21,8.27
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,990.6,914.4,76.2,1,19.1,Developing Customer,6,37.8,3,Standard Internet,0,0,24.41,71.47
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,4140.5,1014.0,84.5,1,44.3,Loyal Customer,3,44.4,0,High-Speed Internet,1,0,46.18,64.65
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,98.5,591.0,49.25,1,11.4,New Customer,2,11.2,1,Standard Internet,0,0,5.88,92.0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,161.3,967.8,80.65,1,11.4,New Customer,2,11.2,0,High-Speed Internet,0,0,6.24,92.0
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,4147.0,957.0,79.75,3,66.4,Loyal Customer,6,61.2,2,Standard Internet,1,0,63.23,17.54
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,4426.35,769.8,64.15,3,78.3,Loyal Customer,5,66.4,3,Standard Internet,1,0,67.48,12.76
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,3880.75,1083.0,90.25,1,40.1,Established Customer,4,45.8,1,High-Speed Internet,1,1,45.35,63.91
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1486.5,1189.2,99.1,1,20.5,Developing Customer,5,34.0,2,High-Speed Internet,0,1,25.41,74.22
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,1737.5,834.0,69.5,1,27.5,Established Customer,5,40.0,2,Standard Internet,0,0,29.89,69.2
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,645.2,967.8,80.65,1,15.6,New Customer,3,19.8,1,High-Speed Internet,0,0,13.38,85.23
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,4491.0,898.2,74.85,2,62.0,Loyal Customer,6,66.0,4,Standard Internet,1,0,63.34,30.7
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1718.1,1145.4,95.45,1,22.6,Developing Customer,4,30.8,0,High-Speed Internet,0,1,25.17,76.46
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,6277.95,1195.8,99.65,2,64.1,Loyal Customer,5,62.8,1,High-Speed Internet,1,1,72.2,32.94
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,7157.7,1301.4,108.45,2,66.2,Loyal Customer,7,74.6,3,High-Speed Internet,1,1,83.25,23.94
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,848.3,299.4,24.95,3,53.8,Established Customer,2,30.4,0,No Internet Service,0,0,28.51,41.58
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,7740.0,1290.0,107.5,3,80.4,Loyal Customer,6,73.2,2,High-Speed Internet,1,1,90.26,7.5
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,4723.5,1206.0,100.5,1,42.9,Established Customer,5,53.2,1,High-Speed Internet,1,1,53.98,58.15
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,5394.0,1078.8,89.9,1,52.0,Loyal Customer,4,56.0,1,High-Speed Internet,1,1,59.32,55.37
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,3031.2,505.2,42.1,3,80.4,Loyal Customer,3,58.2,3,Standard Internet,0,0,55.23,18.75
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,979.2,652.8,54.4,2,32.6,Developing Customer,3,25.8,2,Standard Internet,0,0,22.65,63.04
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,849.6,1132.8,94.4,1,16.3,New Customer,4,25.4,0,High-Speed Internet,0,1,17.38,80.98
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,225.9,903.6,75.3,1,12.1,New Customer,5,26.8,2,Standard Internet,0,0,14.42,80.25
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,3708.3,946.8,78.9,2,52.9,Established Customer,3,43.2,1,High-Speed Internet,0,0,47.35,48.48
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,2455.2,950.4,79.2,3,51.7,Established Customer,6,48.6,3,Standard Internet,0,0,47.0,28.09
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,1007.5,241.8,20.15,3,65.0,Loyal Customer,1,35.0,0,No Internet Service,0,0,31.76,37.3
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,798.5,958.2,79.85,1,17.0,New Customer,3,21.0,2,High-Speed Internet,0,0,14.88,84.23
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,49.05,588.6,49.05,1,10.7,New Customer,2,10.6,1,Standard Internet,0,0,5.29,92.5
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,1060.8,244.8,20.4,2,56.4,Loyal Customer,1,36.2,0,No Internet Service,0,0,28.37,53.47
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,7142.4,1339.2,111.6,3,74.8,Loyal Customer,7,73.4,3,High-Speed Internet,1,1,86.86,7.77
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,1503.5,291.0,24.25,3,73.4,Loyal Customer,2,47.2,0,No Internet Service,0,0,40.78,27.52
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,193.5,774.0,64.5,1,12.1,New Customer,4,21.8,2,Standard Internet,0,0,11.73,84.0
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,6188.0,1326.0,110.5,2,59.2,Loyal Customer,7,68.6,3,High-Speed Internet,1,1,74.56,28.96
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,2559.9,667.8,55.65,2,52.2,Established Customer,2,37.6,0,Standard Internet,0,0,37.83,52.73
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,437.2,655.8,54.65,1,15.6,New Customer,3,19.8,2,Standard Internet,0,0,12.17,85.23
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,2242.5,897.0,74.75,1,31.0,Established Customer,5,43.0,2,Standard Internet,0,0,34.35,66.69
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,1165.5,310.8,25.9,2,51.5,Established Customer,2,37.0,0,No Internet Service,0,0,29.38,53.23
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,79.35,952.2,79.35,1,10.7,New Customer,2,10.6,0,High-Speed Internet,0,0,5.46,92.5
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,556.05,606.6,50.55,1,17.7,New Customer,3,21.6,1,Standard Internet,0,0,13.76,83.73
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,526.05,901.8,75.15,1,14.9,New Customer,2,14.2,1,High-Speed Internet,0,0,9.88,89.49
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,4359.6,1245.6,103.8,1,39.4,Established Customer,6,55.2,3,High-Speed Internet,1,1,52.85,56.91
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,987.35,241.8,20.15,3,64.3,Loyal Customer,1,34.4,0,No Internet Service,0,0,31.34,37.8
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,893.7,1191.6,99.3,1,16.3,New Customer,5,30.4,1,High-Speed Internet,0,1,20.14,77.23
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,2175.25,745.8,62.15,2,44.5,Established Customer,3,36.0,1,Standard Internet,0,0,34.77,54.5
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,991.2,247.8,20.65,3,63.6,Established Customer,1,33.8,0,No Internet Service,0,0,31.07,38.3
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,917.7,239.4,19.95,3,62.2,Established Customer,1,32.6,0,No Internet Service,0,0,30.03,39.31
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,978.75,405.0,33.75,1,30.3,Established Customer,1,22.4,0,Standard Internet,0,0,16.66,82.19
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,2461.5,984.6,82.05,1,31.0,Established Customer,3,33.0,2,High-Speed Internet,0,0,30.63,74.19
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,74.7,896.4,74.7,1,10.7,New Customer,2,10.6,1,High-Speed Internet,0,0,5.44,92.5
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,5544.0,1008.0,84.0,3,76.2,Loyal Customer,7,74.6,3,Standard Internet,1,0,78.11,6.76
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,7218.25,1332.6,111.05,1,55.5,Loyal Customer,7,74.0,3,High-Speed Internet,1,1,78.99,41.61
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,7264.8,1210.8,100.9,3,80.4,Loyal Customer,6,73.2,2,High-Speed Internet,1,1,87.48,7.5
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,947.4,947.4,78.95,1,18.4,New Customer,3,22.2,1,High-Speed Internet,0,0,16.35,83.23
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,4746.35,802.2,66.85,2,69.7,Loyal Customer,5,67.6,3,Standard Internet,1,0,65.65,28.93
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,105.25,252.6,21.05,1,13.5,New Customer,1,8.0,0,No Internet Service,0,0,4.32,94.24
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,1092.0,252.0,21.0,3,66.4,Loyal Customer,1,36.2,0,No Internet Service,0,0,32.86,36.29
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,2462.5,1182.0,98.5,1,27.5,Established Customer,5,40.0,2,High-Speed Internet,0,1,34.13,69.2
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,20.2,242.4,20.2,1,10.7,New Customer,1,5.6,0,No Internet Service,0,0,2.62,96.25
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,19.45,233.4,19.45,1,10.7,New Customer,1,5.6,0,No Internet Service,0,0,2.61,96.25
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,3610.0,1140.0,95.0,2,46.6,Established Customer,5,47.8,2,High-Speed Internet,0,1,49.06,45.5
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,3006.3,546.6,45.55,2,66.2,Loyal Customer,3,54.6,2,Standard Internet,0,0,48.97,38.94
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,7480.0,1320.0,110.0,3,77.6,Loyal Customer,7,75.8,3,High-Speed Internet,1,1,90.04,5.76
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,121.5,291.6,24.3,1,13.5,New Customer,0,3.0,0,Standard Internet,0,0,1.92,97.99
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,7498.8,1249.8,104.15,2,70.4,Loyal Customer,6,73.2,2,High-Speed Internet,1,1,84.55,24.67
